"variavel","grupo","n","minimo","primeiro_qt","media","mediana","dp","terceiro_qt","maximo","p_valor_kruskal"
"cob_suplementar","1: Lowest percentage of women with private health insurance",2977,0,0.9,2.47,1.9,1.9,3.7,7,"< 0.001"
"cob_suplementar","2: Low percentage of women with private health insurance",1339,7.1,9,11.73,11.4,3.1,14.1,17.9,""
"cob_suplementar","3: Intermediate percentage of women with private health insurance",863,18,20.5,24.23,23.8,4.29,27.6,33.1,""
"cob_suplementar","4: High percentage of women with private health insurance",391,33.3,36.25,42.32,40.1,7.83,46.95,95.8,""
