"metodo","db_index_cent","db_index_med","dunn_index","silh_index","ch_index_cent","ch_index_med"
"K-medoids, k = 3",0.6585,0.7345,0.0013,0.6301,14098.8313,15810.717
"K-medoids, k = 4",0.6334,0.6786,0.0014,0.6259,19042.2471,21849.3999
"K-means, k = 3",0.623,0.6579,0.0014,0.6841,18198.7089,20442.1871
"K-means, k = 4",0.6252,0.6742,0.0015,0.6473,21604.9699,24189.3442
"Ward, k = 3",0.6186,0.6693,0.0014,0.6586,13049.3775,13747.7567
"Ward, k = 4",0.6511,0.7133,0.0014,0.6227,19862.9838,22572.8702
