"regiao","Group 1","Group 2","Group 3","Group 4"
"Norte","90.67%","7.33%","1.33%","0.67%"
"Nordeste","91.64%","6.35%","1.56%","0.45%"
"Centro-Oeste","53.75%","26.55%","16.70%","3.00%"
"Sudeste","31.18%","31.12%","24.64%","13.07%"
"Sul","45.51%","33.84%","15.79%","4.87%"
