"regiao","Group 1","Group 2","Group 3","Group 4"
"Norte","91.33%","6.89%","1.78%","0.00%"
"Nordeste","92.03%","6.02%","1.51%","0.45%"
"Centro-Oeste","51.18%","30.62%","14.99%","3.21%"
"Sudeste","28.30%","32.01%","25.42%","14.27%"
"Sul","38.46%","37.53%","17.55%","6.47%"
