"","variavel","Compared groups","Dunn's statistic","Adjusted p-value","Cohen's d"
"1","cob_suplementar","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-40.785,"< 0.001",-3.603
"2","cob_suplementar","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-52.423,"< 0.001",-6.554
"3","cob_suplementar","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-44.927,"< 0.001",-6.993
"4","cob_suplementar","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-15.685,"< 0.001",-3.34
"5","cob_suplementar","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-18.694,"< 0.001",-5.137
"6","cob_suplementar","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-6.396,"< 0.001",-2.865
