"metodo","db_index_cent","db_index_med","dunn_index","silh_index","ch_index_cent","ch_index_med"
"K-medoids, k = 3",0.6437,0.7083,0.0014,0.6337,15898.4914,17584.7627
"K-medoids, k = 4",0.6261,0.6705,0.0015,0.6172,19672.6468,21958.1937
"K-means, k = 3",0.6181,0.6601,0.0015,0.6614,18279.9827,20302.4138
"K-means, k = 4",0.6174,0.6655,0.0016,0.6322,22000.6264,24378.9127
"Ward, k = 3",0.5933,0.6277,0.0016,0.6675,15644.839,16688.9557
"Ward, k = 4",0.6083,0.6461,0.0016,0.5959,18782.6699,21060.4071
