"metodo","db_index_cent","db_index_med","dunn_index","silh_index","ch_index_cent","ch_index_med"
"K-medoids, k = 3",0.646083806559209,0.713561593057855,0.00130039011703504,0.634356456045525,15577.3972101705,17444.4767176865
"K-medoids, k = 4",0.632144487485112,0.682344522033009,0.00140449438202238,0.614699378630992,18574.6353337428,20837.4778817518
"K-means, k = 3",0.622059015751217,0.666151896390471,0.00141442715700132,0.664404884587751,18250.5058866626,20364.1547327819
"K-means, k = 4",0.617996995641094,0.668747841445089,0.00153609831029198,0.63943995803596,22185.3796642619,24625.0823597839
"Ward, k = 2",0.724414055518132,0.867735986237413,0.00111358574610239,0.603662536963868,8608.35207502402,9739.77120618776
"Ward, k = 3",0.601048514188002,0.640851278322349,0.00152439024390236,0.63580983544491,14946.0396751611,16873.4432763228
