"variavel","grupo","n","minimo","primeiro_qt","media","mediana","dp","terceiro_qt","maximo","p_valor_kruskal"
"razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance",2977,0,0.1,0.17,0.14,0.1,0.21,0.96,"< 0.001"
"razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance",1339,0.06,0.22,0.3,0.28,0.12,0.36,1.38,""
"razao_emprego_formal_pop_15_a_64","3: Intermediate percentage of women with private health insurance",863,0.1,0.26,0.38,0.36,0.17,0.45,1.98,""
"razao_emprego_formal_pop_15_a_64","4: High percentage of women with private health insurance",391,0.09,0.36,0.48,0.47,0.19,0.57,1.69,""
"idhm","1: Lowest percentage of women with private health insurance",2977,0.42,0.57,0.61,0.6,0.05,0.65,0.78,"< 0.001"
"idhm","2: Low percentage of women with private health insurance",1339,0.53,0.67,0.7,0.7,0.04,0.73,0.81,""
"idhm","3: Intermediate percentage of women with private health insurance",863,0.52,0.7,0.72,0.73,0.03,0.75,0.84,""
"idhm","4: High percentage of women with private health insurance",391,0.56,0.73,0.75,0.76,0.04,0.78,0.86,""
"porc_populacao_urbana","1: Lowest percentage of women with private health insurance",2977,4.18,39.18,53.1,52.91,18.62,66.2,100,"< 0.001"
"porc_populacao_urbana","2: Low percentage of women with private health insurance",1339,10.09,57.73,69.55,73.97,19.27,84.31,100,""
"porc_populacao_urbana","3: Intermediate percentage of women with private health insurance",863,14.09,73.89,80.47,85.26,16.43,92.3,100,""
"porc_populacao_urbana","4: High percentage of women with private health insurance",391,28.84,85.86,89.09,93.72,13.33,97.94,100,""
"porc_va_adespss","1: Lowest percentage of women with private health insurance",2977,2.83,27,39.87,41.35,16.31,52.81,83.47,"< 0.001"
"porc_va_adespss","2: Low percentage of women with private health insurance",1339,2.21,14.14,21.93,19.94,10.56,27.83,67.08,""
"porc_va_adespss","3: Intermediate percentage of women with private health insurance",863,1.16,12.03,18.32,16.49,8.95,22.77,63.17,""
"porc_va_adespss","4: High percentage of women with private health insurance",391,-25.7,9.43,13.64,12.07,7.03,16.84,45.45,""
"porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance",2977,3.79,64.03,72.08,75.83,15.23,83,97.07,"< 0.001"
"porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance",1339,2.03,41.19,51.79,52.27,15.65,62.98,89.06,""
"porc_beneficiarios_bolsa_familia","3: Intermediate percentage of women with private health insurance",863,2.52,39.14,48.07,48.24,14.12,57.53,96.18,""
"porc_beneficiarios_bolsa_familia","4: High percentage of women with private health insurance",391,7.15,40.42,47.96,49.05,12.75,57.18,78.85,""
