"","variavel","Compared groups","Dunn's statistic","Adjusted p-value","Cohen's d"
"1","razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-30.981,"< 0.001",-1.14
"2","razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-33.629,"< 0.001",-1.474
"3","razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-28.934,"< 0.001",-1.972
"4","razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-7.263,"< 0.001",-0.487
"5","razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-10.801,"< 0.001",-1.099
"6","razao_emprego_formal_pop_15_a_64","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-5.127,"< 0.001",-0.615
"7","idhm","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-33.737,"< 0.001",-1.576
"8","idhm","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-38.446,"< 0.001",-2.298
"9","idhm","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-31.588,"< 0.001",-2.761
"10","idhm","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-9.514,"< 0.001",-0.801
"11","idhm","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-11.836,"< 0.001",-1.439
"12","idhm","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-4.543,"< 0.001",-0.759
"13","porc_va_adespss","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",27.28,"< 0.001",1.146
"14","porc_va_adespss","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",27.985,"< 0.001",1.439
"15","porc_va_adespss","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",25.477,"< 0.001",1.857
"16","porc_va_adespss","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",4.978,"< 0.001",0.332
"17","porc_va_adespss","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",9.511,"< 0.001",0.882
"18","porc_va_adespss","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",5.492,"< 0.001",0.592
"19","porc_populacao_urbana","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-25.042,"< 0.001",-0.966
"20","porc_populacao_urbana","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-32.669,"< 0.001",-1.678
"21","porc_populacao_urbana","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-28.034,"< 0.001",-2.226
"22","porc_populacao_urbana","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-10.663,"< 0.001",-0.617
"23","porc_populacao_urbana","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-13.064,"< 0.001",-1.095
"24","porc_populacao_urbana","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-4.903,"< 0.001",-0.499
"25","porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",29.843,"< 0.001",1.121
"26","porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",29.159,"< 0.001",1.408
"27","porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",19.728,"< 0.001",1.414
"28","porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",4.189,"< 0.001",0.252
"29","porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",2.807,"0.03",0.226
"30","porc_beneficiarios_bolsa_familia","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-0.255,"1",-0.035
