"","variavel","Compared groups","Dunn's statistic","Adjusted p-value","Cohen's d"
"1","razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-32.427,"< 0.001",-1.21
"2","razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-36.911,"< 0.001",-1.513
"3","razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-33.404,"< 0.001",-2.051
"4","razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-8.225,"< 0.001",-0.526
"5","razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-12.678,"< 0.001",-1.127
"6","razao_emprego_formal_pop_15_a_64","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-6.066,"< 0.001",-0.57
"7","idhm","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-36.698,"< 0.001",-1.791
"8","idhm","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-42.178,"< 0.001",-2.488
"9","idhm","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-37.344,"< 0.001",-3.111
"10","idhm","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-9.68,"< 0.001",-0.735
"11","idhm","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-13.916,"< 0.001",-1.497
"12","idhm","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-6.187,"< 0.001",-0.831
"13","porc_populacao_urbana","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",-22.977,"< 0.001",-0.868
"14","porc_populacao_urbana","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-33.006,"< 0.001",-1.559
"15","porc_populacao_urbana","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-31.418,"< 0.001",-2.222
"16","porc_populacao_urbana","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",-11.904,"< 0.001",-0.61
"17","porc_populacao_urbana","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-16.232,"< 0.001",-1.18
"18","porc_populacao_urbana","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",-6.778,"< 0.001",-0.576
"19","porc_va_adespss","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",30.736,"< 0.001",1.306
"20","porc_va_adespss","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",32.962,"< 0.001",1.638
"21","porc_va_adespss","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",30.422,"< 0.001",2.088
"22","porc_va_adespss","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",6.003,"< 0.001",0.368
"23","porc_va_adespss","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",10.857,"< 0.001",0.923
"24","porc_va_adespss","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",5.939,"< 0.001",0.581
"25","porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance vs 2: Low percentage of women with private health insurance",34.118,"< 0.001",1.313
"26","porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",34.31,"< 0.001",1.634
"27","porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance vs 4: High percentage of women with private health insurance",24.999,"< 0.001",1.717
"28","porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance vs 3: Intermediate percentage of women with private health insurance",4.657,"< 0.001",0.25
"29","porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance vs 4: High percentage of women with private health insurance",3.844,"< 0.001",0.269
"30","porc_beneficiarios_bolsa_familia","3: Intermediate percentage of women with private health insurance vs 4: High percentage of women with private health insurance",0.288,"1",0.009
