"variavel","grupo","n","minimo","primeiro_qt","media","mediana","dp","terceiro_qt","maximo","p_valor_kruskal"
"razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance",3231,0.005,0.102,0.176,0.151,0.103,0.225,0.999,"< 0.001"
"razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance",1263,0.079,0.228,0.309,0.29,0.123,0.367,1.377,""
"razao_emprego_formal_pop_15_a_64","3: Intermediate percentage of women with private health insurance",738,0.091,0.283,0.396,0.374,0.174,0.461,1.98,""
"razao_emprego_formal_pop_15_a_64","4: High percentage of women with private health insurance",338,0.121,0.379,0.497,0.478,0.195,0.583,1.693,""
"idhm","1: Lowest percentage of women with private health insurance",3231,0.418,0.575,0.616,0.609,0.057,0.658,0.78,"< 0.001"
"idhm","2: Low percentage of women with private health insurance",1263,0.56,0.675,0.701,0.703,0.038,0.728,0.806,""
"idhm","3: Intermediate percentage of women with private health insurance",738,0.587,0.712,0.731,0.732,0.033,0.754,0.845,""
"idhm","4: High percentage of women with private health insurance",338,0.555,0.736,0.756,0.758,0.036,0.779,0.862,""
"porc_va_adespss","1: Lowest percentage of women with private health insurance",3231,2.233,24.67,38.454,39.221,16.599,51.843,83.469,"< 0.001"
"porc_va_adespss","2: Low percentage of women with private health insurance",1263,1.558,13.774,21.559,19.69,10.633,27.68,73.019,""
"porc_va_adespss","3: Intermediate percentage of women with private health insurance",738,0.837,11.968,18.063,15.959,8.885,22.396,55.353,""
"porc_va_adespss","4: High percentage of women with private health insurance",338,-25.698,9.096,13.09,11.86,6.867,16.184,61.317,""
"porc_populacao_urbana","1: Lowest percentage of women with private health insurance",3231,4.179,39.98,53.972,54.082,18.797,67.772,100,"< 0.001"
"porc_populacao_urbana","2: Low percentage of women with private health insurance",1263,10.087,59.597,71.181,75.85,19.122,85.916,100,""
"porc_populacao_urbana","3: Intermediate percentage of women with private health insurance",738,14.085,77.327,82.739,87.694,15.629,93.967,100,""
"porc_populacao_urbana","4: High percentage of women with private health insurance",338,27.974,85.491,89.126,93.691,13.362,98.13,100,""
"porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance",3231,3.79,61.338,70.567,74.41,16.112,82.512,96.78,"< 0.001"
"porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance",1263,2.52,41.068,51.448,51.845,15.479,62.478,97.07,""
"porc_beneficiarios_bolsa_familia","3: Intermediate percentage of women with private health insurance",738,2.03,38.84,47.627,47.66,13.885,57.08,87.32,""
"porc_beneficiarios_bolsa_familia","4: High percentage of women with private health insurance",338,7.15,39.605,47.514,48.36,12.838,56.458,81.84,""
